student_id,student_name,subject,marks,max_marks,attendance,study_hours,grade
STU0029,Suresh Roy,Statistics,75,100,78,2,B+
STU0030,Nandita Malhotra,Mathematics,80,100,79,5,A
STU0030,Nandita Malhotra,Physics,58,100,71,5,C
STU0030,Nandita Malhotra,Chemistry,76,100,84,3,B+
STU0030,Nandita Malhotra,Computer Science,91,100,69,4,A+
STU0030,Nandita Malhotra,English,47,100,49,6,D
STU0030,Nandita Malhotra,Statistics,87,100,64,1,A
STU0031,Bhavna Sharma,Mathematics,63,100,81,3,B
STU0031,Bhavna Sharma,Physics,63,100,68,6,B
STU0031,Bhavna Sharma,Chemistry,89,100,88,5,A
STU0031,Bhavna Sharma,Computer Science,66,100,70,4,B
STU0031,Bhavna Sharma,English,70,100,68,3,B+
STU0031,Bhavna Sharma,Statistics,63,100,57,4,B
STU0032,Waqar Sharma,Mathematics,71,100,53,0,B+
STU0032,Waqar Sharma,Physics,58,100,61,1,C
STU0032,Waqar Sharma,Chemistry,50,100,43,3,C
STU0032,Waqar Sharma,Computer Science,33,100,47,0,F
STU0032,Waqar Sharma,English,17,100,58,2,F
STU0032,Waqar Sharma,Statistics,44,100,63,6,D
STU0033,Brinda Khan,Mathematics,70,100,53,0,B+
STU0033,Brinda Khan,Physics,36,100,44,0,F
STU0033,Brinda Khan,Chemistry,39,100,55,2,F
STU0033,Brinda Khan,Computer Science,41,100,58,3,D
STU0033,Brinda Khan,English,23,100,70,2,F
STU0033,Brinda Khan,Statistics,28,100,45,4,F
STU0034,Tanmay Saxena,Mathematics,78,100,100,5,B+
STU0034,Tanmay Saxena,Physics,83,100,77,7,A
STU0034,Tanmay Saxena,Chemistry,87,100,96,6,A
STU0034,Tanmay Saxena,Computer Science,79,100,64,8,B+
STU0034,Tanmay Saxena,English,90,100,87,6,A+
STU0034,Tanmay Saxena,Statistics,85,100,100,5,A
STU0035,Omkar Khan,Mathematics,55,100,46,3,C
STU0035,Omkar Khan,Physics,41,100,59,3,D
STU0035,Omkar Khan,Chemistry,28,100,64,3,F
STU0035,Omkar Khan,Computer Science,30,100,60,2,F
STU0035,Omkar Khan,English,29,100,59,3,F
STU0035,Omkar Khan,Statistics,23,100,57,1,F
STU0036,Kavita Kapoor,Mathematics,75,100,77,3,B+
STU0036,Kavita Kapoor,Physics,57,100,80,3,C
STU0036,Kavita Kapoor,Chemistry,77,100,84,6,B+
STU0036,Kavita Kapoor,Computer Science,62,100,65,3,B
STU0036,Kavita Kapoor,English,64,100,77,4,B
STU0036,Kavita Kapoor,Statistics,80,100,74,8,A
STU0037,Karthik Joshi,Mathematics,72,100,72,4,B+
STU0037,Karthik Joshi,Physics,66,100,87,4,B
STU0037,Karthik Joshi,Chemistry,49,100,85,3,D
STU0037,Karthik Joshi,Computer Science,74,100,80,4,B+
STU0037,Karthik Joshi,English,47,100,69,2,D
STU0037,Karthik Joshi,Statistics,54,100,67,6,C
STU0038,Karthik Choudhary,Mathematics,26,100,59,4,F
STU0038,Karthik Choudhary,Physics,10,100,69,1,F
STU0038,Karthik Choudhary,Chemistry,23,100,61,0,F
STU0038,Karthik Choudhary,Computer Science,33,100,47,2,F
STU0038,Karthik Choudhary,English,42,100,59,3,D
STU0038,Karthik Choudhary,Statistics,29,100,61,3,F
STU0039,Aarav Kumar,Mathematics,85,100,67,3,A
STU0039,Aarav Kumar,Physics,57,100,78,0,C
STU0039,Aarav Kumar,Chemistry,35,100,66,8,F
STU0039,Aarav Kumar,Computer Science,48,100,79,4,D
STU0039,Aarav Kumar,English,63,100,68,4,B
STU0039,Aarav Kumar,Statistics,84,100,89,4,A
STU0040,Divya Reddy,Mathematics,49,100,59,1,D
STU0040,Divya Reddy,Physics,34,100,56,1,F
STU0040,Divya Reddy,Chemistry,24,100,60,2,F
STU0040,Divya Reddy,Computer Science,28,100,64,1,F
STU0040,Divya Reddy,English,55,100,59,3,C
STU0040,Divya Reddy,Statistics,70,100,68,0,B+
STU0041,Nandita Hussain,Mathematics,49,100,53,2,D
STU0041,Nandita Hussain,Physics,27,100,63,4,F
STU0041,Nandita Hussain,Chemistry,34,100,65,0,F
STU0041,Nandita Hussain,Computer Science,24,100,60,2,F
STU0041,Nandita Hussain,English,34,100,57,4,F
STU0041,Nandita Hussain,Statistics,60,100,73,1,B
STU0042,Xena Ansari,Mathematics,37,100,52,0,F
STU0042,Xena Ansari,Physics,54,100,46,0,C
STU0042,Xena Ansari,Chemistry,65,100,47,3,B
STU0042,Xena Ansari,Computer Science,35,100,67,4,F
STU0042,Xena Ansari,English,26,100,41,2,F
STU0042,Xena Ansari,Statistics,38,100,56,1,F
STU0043,Farida Agarwal,Mathematics,50,100,90,6,C
STU0043,Farida Agarwal,Physics,60,100,79,4,B
STU0043,Farida Agarwal,Chemistry,63,100,86,5,B
STU0043,Farida Agarwal,Computer Science,79,100,79,3,B+
STU0043,Farida Agarwal,English,53,100,82,4,C
STU0043,Farida Agarwal,Statistics,56,100,69,1,C
STU0044,Rahul Patel,Mathematics,69,100,81,3,B
STU0044,Rahul Patel,Physics,69,100,83,5,B
STU0044,Rahul Patel,Chemistry,56,100,70,4,C
STU0044,Rahul Patel,Computer Science,62,100,73,7,B
STU0044,Rahul Patel,English,66,100,70,3,B
STU0044,Rahul Patel,Statistics,63,100,68,3,B
STU0045,Farhan Kumar,Mathematics,86,100,73,4,A
STU0045,Farhan Kumar,Physics,57,100,90,2,C
STU0045,Farhan Kumar,Chemistry,52,100,76,4,C
STU0045,Farhan Kumar,Computer Science,58,100,93,2,C
STU0045,Farhan Kumar,English,63,100,76,4,B
STU0045,Farhan Kumar,Statistics,74,100,58,4,B+
STU0046,Gaurav Sharma,Mathematics,66,100,74,4,B
STU0046,Gaurav Sharma,Physics,86,100,70,4,A
STU0046,Gaurav Sharma,Chemistry,68,100,80,4,B
STU0046,Gaurav Sharma,Computer Science,67,100,93,4,B
STU0046,Gaurav Sharma,English,61,100,94,2,B
STU0046,Gaurav Sharma,Statistics,72,100,61,4,B+
STU0047,Ekta Nair,Mathematics,61,100,77,4,B
STU0047,Ekta Nair,Physics,73,100,79,2,B+
STU0047,Ekta Nair,Chemistry,52,100,62,5,C
STU0047,Ekta Nair,Computer Science,68,100,73,2,B
STU0047,Ekta Nair,English,54,100,75,1,C
STU0047,Ekta Nair,Statistics,57,100,78,4,C
STU0048,Hina Hussain,Mathematics,42,100,63,1,D
STU0048,Hina Hussain,Physics,42,100,74,0,D
STU0048,Hina Hussain,Chemistry,49,100,61,3,D
STU0048,Hina Hussain,Computer Science,19,100,43,1,F
STU0048,Hina Hussain,English,22,100,62,0,F
STU0048,Hina Hussain,Statistics,24,100,69,1,F
STU0049,Ishaan Sharma,Mathematics,57,100,55,4,C
STU0049,Ishaan Sharma,Physics,30,100,58,0,F
STU0049,Ishaan Sharma,Chemistry,34,100,54,3,F
STU0049,Ishaan Sharma,Computer Science,61,100,54,1,B
STU0049,Ishaan Sharma,English,42,100,78,3,D
STU0049,Ishaan Sharma,Statistics,53,100,58,0,C
STU0050,Bhavna Singh,Mathematics,52,100,55,3,C
STU0050,Bhavna Singh,Physics,61,100,77,5,B
STU0050,Bhavna Singh,Chemistry,63,100,79,5,B
STU0050,Bhavna Singh,Computer Science,81,100,62,6,A
STU0050,Bhavna Singh,English,74,100,71,3,B+
STU0050,Bhavna Singh,Statistics,56,100,72,5,C
STU0051,Gayatri Menon,Mathematics,88,100,75,6,A
STU0051,Gayatri Menon,Physics,89,100,88,9,A
STU0051,Gayatri Menon,Chemistry,88,100,85,4,A
STU0051,Gayatri Menon,Computer Science,76,100,81,5,B+
STU0051,Gayatri Menon,English,85,100,88,8,A
STU0051,Gayatri Menon,Statistics,80,100,84,5,A
STU0052,Farida Kapoor,Mathematics,48,100,72,4,D
STU0052,Farida Kapoor,Physics,74,100,75,4,B+
STU0052,Farida Kapoor,Chemistry,50,100,73,2,C
STU0052,Farida Kapoor,Computer Science,56,100,61,0,C
STU0052,Farida Kapoor,English,51,100,81,2,C
STU0052,Farida Kapoor,Statistics,62,100,78,4,B
STU0053,Laxman Das,Mathematics,56,100,80,5,C
STU0053,Laxman Das,Physics,74,100,70,3,B+
STU0053,Laxman Das,Chemistry,68,100,80,3,B
STU0053,Laxman Das,Computer Science,79,100,77,2,B+
STU0053,Laxman Das,English,66,100,65,2,B
STU0053,Laxman Das,Statistics,75,100,85,1,B+
STU0054,Vikram Reddy,Mathematics,82,100,87,6,A
STU0054,Vikram Reddy,Physics,91,100,85,5,A+
STU0054,Vikram Reddy,Chemistry,79,100,93,8,B+
STU0054,Vikram Reddy,Computer Science,94,100,98,3,A+
STU0054,Vikram Reddy,English,93,100,100,6,A+
STU0054,Vikram Reddy,Statistics,83,100,90,7,A
STU0055,Manish Das,Mathematics,62,100,60,5,B
STU0055,Manish Das,Physics,54,100,72,2,C
STU0055,Manish Das,Chemistry,63,100,68,2,B
STU0055,Manish Das,Computer Science,66,100,67,5,B
STU0055,Manish Das,English,76,100,79,4,B+
STU0055,Manish Das,Statistics,78,100,63,3,B+
STU0056,Brinda Sharma,Mathematics,85,100,94,4,A
STU0056,Brinda Sharma,Physics,79,100,83,6,B+
STU0056,Brinda Sharma,Chemistry,92,100,95,5,A+
STU0056,Brinda Sharma,Computer Science,87,100,91,7,A
STU0056,Brinda Sharma,English,91,100,75,5,A+
STU0056,Brinda Sharma,Statistics,86,100,91,3,A
STU0057,Chirag Malhotra,Mathematics,70,100,82,6,B+
STU0057,Chirag Malhotra,Physics,82,100,99,4,A
STU0057,Chirag Malhotra,Chemistry,87,100,98,6,A
STU0057,Chirag Malhotra,Computer Science,90,100,77,7,A+
STU0057,Chirag Malhotra,English,94,100,83,9,A+
STU0057,Chirag Malhotra,Statistics,100,100,100,8,A+
STU0058,Laxman Ali,Mathematics,94,100,80,4,A+
STU0058,Laxman Ali,Physics,84,100,100,6,A
STU0058,Laxman Ali,Chemistry,89,100,91,8,A
STU0058,Laxman Ali,Computer Science,72,100,88,6,B+
STU0058,Laxman Ali,English,80,100,78,4,A
STU0058,Laxman Ali,Statistics,81,100,84,6,A
STU0059,Farida Gupta,Mathematics,67,100,89,3,B
STU0059,Farida Gupta,Physics,64,100,63,3,B
STU0059,Farida Gupta,Chemistry,57,100,53,7,C
STU0059,Farida Gupta,Computer Science,63,100,85,4,B
STU0059,Farida Gupta,English,46,100,85,3,D
STU0059,Farida Gupta,Statistics,90,100,77,4,A+
STU0060,Qasim Verma,Mathematics,68,100,64,1,B
STU0060,Qasim Verma,Physics,54,100,83,5,C
STU0060,Qasim Verma,Chemistry,51,100,61,5,C
STU0060,Qasim Verma,Computer Science,67,100,70,3,B
STU0060,Qasim Verma,English,85,100,75,5,A
STU0060,Qasim Verma,Statistics,74,100,68,5,B+
STU0061,Zubair Kumar,Mathematics,77,100,57,4,B+
STU0061,Zubair Kumar,Physics,59,100,68,3,C
STU0061,Zubair Kumar,Chemistry,80,100,64,4,A
STU0061,Zubair Kumar,Computer Science,49,100,66,4,D
STU0061,Zubair Kumar,English,87,100,65,4,A
STU0061,Zubair Kumar,Statistics,67,100,69,2,B
STU0062,Indira Mehta,Mathematics,58,100,75,0,C
STU0062,Indira Mehta,Physics,63,100,68,4,B
STU0062,Indira Mehta,Chemistry,84,100,93,3,A
STU0062,Indira Mehta,Computer Science,54,100,53,3,C
STU0062,Indira Mehta,English,56,100,76,4,C
STU0062,Indira Mehta,Statistics,50,100,67,4,C
STU0063,Pallavi Ansari,Mathematics,58,100,100,1,C
STU0063,Pallavi Ansari,Physics,65,100,69,3,B
STU0063,Pallavi Ansari,Chemistry,87,100,79,3,A
STU0063,Pallavi Ansari,Computer Science,74,100,76,5,B+
STU0063,Pallavi Ansari,English,63,100,64,3,B
STU0063,Pallavi Ansari,Statistics,66,100,67,3,B
STU0064,Chetan Das,Mathematics,87,100,89,3,A
STU0064,Chetan Das,Physics,93,100,85,8,A+
STU0064,Chetan Das,Chemistry,92,100,82,8,A+
STU0064,Chetan Das,Computer Science,90,100,78,5,A+
STU0064,Chetan Das,English,86,100,96,5,A
STU0064,Chetan Das,Statistics,86,100,92,6,A
STU0065,Aarav Rao,Mathematics,80,100,93,4,A
STU0065,Aarav Rao,Physics,91,100,91,4,A+
STU0065,Aarav Rao,Chemistry,88,100,83,4,A
STU0065,Aarav Rao,Computer Science,72,100,100,8,B+
STU0065,Aarav Rao,English,87,100,90,4,A
STU0065,Aarav Rao,Statistics,78,100,100,4,B+
STU0066,Lakshmi Joshi,Mathematics,85,100,70,3,A
STU0066,Lakshmi Joshi,Physics,55,100,61,4,C
STU0066,Lakshmi Joshi,Chemistry,72,100,81,2,B+
STU0066,Lakshmi Joshi,Computer Science,67,100,75,2,B
STU0066,Lakshmi Joshi,English,35,100,75,2,F
STU0066,Lakshmi Joshi,Statistics,55,100,72,1,C
STU0067,Xena Nair,Mathematics,75,100,69,3,B+
STU0067,Xena Nair,Physics,55,100,65,3,C
STU0067,Xena Nair,Chemistry,61,100,80,4,B
STU0067,Xena Nair,Computer Science,68,100,97,5,B
STU0067,Xena Nair,English,60,100,68,1,B
STU0067,Xena Nair,Statistics,71,100,78,4,B+
STU0068,Gaurav Desai,Mathematics,64,100,76,2,B
STU0068,Gaurav Desai,Physics,64,100,77,3,B
STU0068,Gaurav Desai,Chemistry,72,100,79,2,B+
STU0068,Gaurav Desai,Computer Science,61,100,74,5,B
STU0068,Gaurav Desai,English,79,100,73,3,B+
STU0068,Gaurav Desai,Statistics,67,100,53,4,B
STU0069,Nandita Sharma,Mathematics,82,100,85,2,A
STU0069,Nandita Sharma,Physics,81,100,97,11,A
STU0069,Nandita Sharma,Chemistry,87,100,95,6,A
STU0069,Nandita Sharma,Computer Science,67,100,84,6,B
STU0069,Nandita Sharma,English,92,100,94,4,A+
STU0069,Nandita Sharma,Statistics,79,100,100,3,B+
STU0070,Manish Rao,Mathematics,62,100,86,2,B
STU0070,Manish Rao,Physics,56,100,73,4,C
STU0070,Manish Rao,Chemistry,78,100,57,4,B+
STU0070,Manish Rao,Computer Science,58,100,79,2,C
STU0070,Manish Rao,English,56,100,82,2,C
STU0070,Manish Rao,Statistics,65,100,57,4,B
STU0071,Brinda Nair,Mathematics,62,100,93,0,B
STU0071,Brinda Nair,Physics,45,100,51,4,D
STU0071,Brinda Nair,Chemistry,76,100,92,3,B+
STU0071,Brinda Nair,Computer Science,62,100,66,3,B
STU0071,Brinda Nair,English,68,100,74,5,B
STU0071,Brinda Nair,Statistics,64,100,80,2,B
STU0072,Rahul Kumar,Mathematics,79,100,82,7,B+
STU0072,Rahul Kumar,Physics,90,100,97,4,A+
STU0072,Rahul Kumar,Chemistry,85,100,89,5,A
STU0072,Rahul Kumar,Computer Science,100,100,95,6,A+
STU0072,Rahul Kumar,English,82,100,92,6,A
STU0072,Rahul Kumar,Statistics,99,100,80,4,A+
STU0073,Wahida Verma,Mathematics,47,100,63,3,D
STU0073,Wahida Verma,Physics,41,100,53,0,D
STU0073,Wahida Verma,Chemistry,1,100,36,0,F
STU0073,Wahida Verma,Computer Science,46,100,47,1,D
STU0073,Wahida Verma,English,50,100,64,2,C
STU0073,Wahida Verma,Statistics,18,100,73,0,F
STU0074,Disha Kumar,Mathematics,84,100,70,7,A
STU0074,Disha Kumar,Physics,86,100,81,5,A
STU0074,Disha Kumar,Chemistry,100,100,98,3,A+
STU0074,Disha Kumar,Computer Science,76,100,83,3,B+
STU0074,Disha Kumar,English,77,100,80,3,B+
STU0074,Disha Kumar,Statistics,76,100,94,7,B+
STU0075,Lakshmi Malhotra,Mathematics,78,100,83,3,B+
STU0075,Lakshmi Malhotra,Physics,70,100,77,5,B+
STU0075,Lakshmi Malhotra,Chemistry,76,100,68,3,B+
STU0075,Lakshmi Malhotra,Computer Science,35,100,77,4,F
STU0075,Lakshmi Malhotra,English,60,100,82,2,B
STU0075,Lakshmi Malhotra,Statistics,75,100,78,5,B+
STU0076,Yash Nair,Mathematics,82,100,100,3,A
STU0076,Yash Nair,Physics,83,100,90,7,A
STU0076,Yash Nair,Chemistry,90,100,90,5,A+
STU0076,Yash Nair,Computer Science,74,100,79,4,B+
STU0076,Yash Nair,English,76,100,91,6,B+
STU0076,Yash Nair,Statistics,84,100,95,3,A
STU0077,Chirag Iyer,Mathematics,74,100,75,2,B+
STU0077,Chirag Iyer,Physics,82,100,76,5,A
STU0077,Chirag Iyer,Chemistry,60,100,74,3,B
STU0077,Chirag Iyer,Computer Science,57,100,95,6,C
STU0077,Chirag Iyer,English,76,100,68,4,B+
STU0077,Chirag Iyer,Statistics,76,100,56,3,B+
STU0078,Priya Ansari,Mathematics,96,100,78,6,A+
STU0078,Priya Ansari,Physics,74,100,72,6,B+
STU0078,Priya Ansari,Chemistry,95,100,75,6,A+
STU0078,Priya Ansari,Computer Science,87,100,88,8,A
STU0078,Priya Ansari,English,97,100,92,6,A+
STU0078,Priya Ansari,Statistics,81,100,90,8,A
STU0079,Disha Das,Mathematics,81,100,91,5,A
STU0079,Disha Das,Physics,76,100,68,7,B+
STU0079,Disha Das,Chemistry,87,100,84,4,A
STU0079,Disha Das,Computer Science,90,100,95,6,A+
STU0079,Disha Das,English,79,100,100,4,B+
STU0079,Disha Das,Statistics,86,100,82,3,A
STU0080,Chetan Bose,Mathematics,61,100,86,4,B
STU0080,Chetan Bose,Physics,67,100,71,3,B
STU0080,Chetan Bose,Chemistry,59,100,60,4,C
STU0080,Chetan Bose,Computer Science,52,100,77,3,C
STU0080,Chetan Bose,English,76,100,79,4,B+
STU0080,Chetan Bose,Statistics,67,100,53,4,B
STU0081,Abhinav Khan,Mathematics,72,100,55,4,B+
STU0081,Abhinav Khan,Physics,81,100,69,2,A
STU0081,Abhinav Khan,Chemistry,83,100,82,4,A
